,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
67.1538,0.161918,0.162364,0.16281,0.163255,0.163701,0.16435,0.165087,0.165824,0.166561,0.167351,0.168219,0.169088,0.169956,0.170829,0.171736,0.172643,0.173551,0.174458,0.175392,0.176333,0.177273,0.178214,0.179178,0.180165,0.181153,0.18214,0.183136,0.18417,0.185204,0.186237,0.187271,0.188342,0.189416,0.190491,0.191566,0.192664,0.193778,0.194892,0.196005,0.19713,0.198282,0.199434,0.200586,0.201737
69.5385,0.161832,0.162281,0.16273,0.163179,0.163629,0.16428,0.165018,0.165757,0.166495,0.167285,0.168153,0.16902,0.169888,0.170759,0.171666,0.172572,0.173478,0.174385,0.175319,0.176259,0.1772,0.17814,0.179105,0.180093,0.181081,0.18207,0.183067,0.184103,0.185138,0.186174,0.187209,0.188282,0.189359,0.190436,0.191513,0.192614,0.19373,0.194846,0.195962,0.19709,0.198244,0.199398,0.200553,0.201707
71.9231,0.161745,0.162198,0.162651,0.163104,0.163557,0.16421,0.16495,0.165689,0.166428,0.167219,0.168086,0.168952,0.169819,0.17069,0.171595,0.172501,0.173406,0.174312,0.175245,0.176186,0.177126,0.178067,0.179031,0.180021,0.18101,0.181999,0.182998,0.184036,0.185073,0.18611,0.187148,0.188223,0.189302,0.190381,0.19146,0.192563,0.193682,0.1948,0.195919,0.197049,0.198206,0.199363,0.20052,0.201677
74.3077,0.161658,0.162115,0.162571,0.163028,0.163484,0.16414,0.164881,0.165621,0.166362,0.167153,0.168019,0.168885,0.16975,0.17062,0.171525,0.172429,0.173334,0.174238,0.175172,0.176112,0.177052,0.177993,0.178958,0.179948,0.180939,0.181929,0.182929,0.183968,0.185007,0.186047,0.187086,0.188163,0.189245,0.190326,0.191407,0.192513,0.193634,0.194755,0.195876,0.197009,0.198168,0.199328,0.200487,0.201647
76.6923,0.161571,0.162031,0.162492,0.162952,0.163412,0.16407,0.164812,0.165554,0.166295,0.167087,0.167952,0.168817,0.169682,0.170551,0.171454,0.172358,0.173261,0.174165,0.175098,0.176038,0.176979,0.177919,0.178885,0.179876,0.180867,0.181859,0.18286,0.183901,0.184942,0.185983,0.187024,0.188104,0.189187,0.190271,0.191355,0.192462,0.193586,0.194709,0.195833,0.196968,0.19813,0.199292,0.200454,0.201616
79.0769,0.161484,0.161948,0.162412,0.162876,0.16334,0.164,0.164743,0.165486,0.166229,0.167021,0.167885,0.168749,0.169613,0.170481,0.171384,0.172286,0.173189,0.174092,0.175024,0.175965,0.176905,0.177845,0.178811,0.179804,0.180796,0.181788,0.182791,0.183834,0.184877,0.18592,0.186962,0.188044,0.18913,0.190216,0.191302,0.192412,0.193538,0.194664,0.19579,0.196927,0.198092,0.199257,0.200421,0.201586
81.4615,0.161397,0.161865,0.162333,0.162801,0.163268,0.16393,0.164674,0.165418,0.166163,0.166954,0.167818,0.168681,0.169545,0.170412,0.171313,0.172215,0.173117,0.174019,0.174951,0.175891,0.176831,0.177771,0.178738,0.179731,0.180725,0.181718,0.182722,0.183767,0.184811,0.185856,0.186901,0.187984,0.189073,0.190161,0.191249,0.192361,0.19349,0.194618,0.195747,0.196887,0.198054,0.199221,0.200389,0.201556
83.8462,0.161311,0.161782,0.162253,0.162725,0.163196,0.16386,0.164605,0.165351,0.166096,0.166888,0.167751,0.168613,0.169476,0.170342,0.171243,0.172144,0.173044,0.173945,0.174877,0.175817,0.176757,0.177698,0.178665,0.179659,0.180653,0.181648,0.182653,0.183699,0.184746,0.185792,0.186839,0.187925,0.189015,0.190106,0.191196,0.192311,0.193442,0.194573,0.195703,0.196846,0.198016,0.199186,0.200356,0.201526
86.2308,0.161224,0.161699,0.162174,0.162649,0.163124,0.16379,0.164536,0.165283,0.16603,0.166822,0.167684,0.168546,0.169407,0.170273,0.171173,0.172072,0.172972,0.173872,0.174804,0.175744,0.176684,0.177624,0.178591,0.179587,0.180582,0.181578,0.182584,0.183632,0.18468,0.185729,0.186777,0.187865,0.188958,0.19005,0.191143,0.19226,0.193393,0.194527,0.19566,0.196806,0.197978,0.19915,0.200323,0.201495
88.6154,0.161137,0.161616,0.162095,0.162573,0.163052,0.163719,0.164467,0.165215,0.165963,0.166756,0.167617,0.168478,0.169339,0.170203,0.171102,0.172001,0.1729,0.173799,0.17473,0.17567,0.17661,0.17755,0.178518,0.179514,0.180511,0.181507,0.182515,0.183565,0.184615,0.185665,0.186716,0.187806,0.188901,0.189995,0.19109,0.19221,0.193345,0.194481,0.195617,0.196765,0.19794,0.199115,0.20029,0.201465
91,0.16105,0.161533,0.162015,0.162498,0.16298,0.163649,0.164398,0.165147,0.165897,0.16669,0.16755,0.16841,0.16927,0.170134,0.171032,0.17193,0.172828,0.173725,0.174657,0.175597,0.176536,0.177476,0.178445,0.179442,0.18044,0.181437,0.182445,0.183498,0.18455,0.185602,0.186654,0.187746,0.188843,0.18994,0.191037,0.192159,0.193297,0.194436,0.195574,0.196724,0.197902,0.19908,0.200257,0.201435
