,0,1,2,3,4,5,6,7,8,9,10
10,0.163591,0.164151,0.167008,0.170782,0.174739,0.178733,0.18279,0.186932,0.191166,0.19551,0.200006
30,0.163362,0.165489,0.168861,0.172863,0.177085,0.181289,0.185556,0.190064,0.194854,0.199892,0.205167
60,0.162179,0.164047,0.167201,0.170946,0.17486,0.178906,0.183138,0.187559,0.192152,0.196909,0.201828
91,0.16105,0.163125,0.166346,0.170044,0.173905,0.177946,0.182235,0.186759,0.191476,0.196371,0.201435
